0,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.650391, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.650391, 1616.937256, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.650391, 1616.937256, 0.083841, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.650391, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -0.006458, 3.060149, 2154.650391, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 3.060149, 2154.650391, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.650391, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.640381, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.640381, 1601.259155, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.640381, 1601.259155, 0.063882, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.640381, 1601.259155, 0.063882, -0.019001,
7_8_2018 19:34:7,-0.455931, -1.089533, 2.239967, 2154.640381, 1601.259155, 0.063882, -0.019001,
7_8_2018 19:34:7,-0.455931, 0.553528, 2.239967, 2154.640381, 1601.259155, 0.063882, -0.019001,
7_8_2018 19:34:3,-0.319754, -0.716176, 1.797150, 2154.670410, 1643.844116, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 1.797150, 2154.670410, 1643.844116, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1643.844116, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:3,-0.319754, -0.716176, 1.797150, 2154.670410, 1643.844116, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 1.797150, 2154.670410, 1643.844116, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1643.844116, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.660400, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.650391, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.650391, 1616.937256, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.650391, 1616.937256, 0.083841, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.650391, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -0.006458, 3.060149, 2154.650391, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 3.060149, 2154.650391, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.650391, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.640381, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.640381, 1601.259155, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.640381, 1601.259155, 0.063882, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.640381, 1601.259155, 0.063882, -0.019001,
7_8_2018 19:34:7,-0.455931, -1.089533, 2.239967, 2154.640381, 1601.259155, 0.063882, -0.019001,
7_8_2018 19:34:7,-0.455931, 0.553528, 2.239967, 2154.640381, 1601.259155, 0.063882, -0.019001,
7_8_2018 19:34:7,-0.455931, 0.553528, 1.003449, 2154.640381, 1601.259155, 0.063882, -0.019001,
7_8_2018 19:34:7,-0.455931, 0.553528, 1.003449, 2154.631348, 1601.259155, 0.063882, -0.019001,
7_8_2018 19:34:7,-0.455931, 0.553528, 1.003449, 2154.631348, 1587.835205, 0.063882, -0.019001,
7_8_2018 19:34:7,-0.455931, 0.553528, 1.003449, 2154.631348, 1587.835205, 0.032986, -0.019001,
7_8_2018 19:34:7,-0.455931, 0.553528, 1.003449, 2154.631348, 1587.835205, 0.032986, -0.017304,
7_8_2018 19:34:8,0.510260, 0.553528, 1.003449, 2154.631348, 1587.835205, 0.032986, -0.017304,
7_8_2018 19:34:8,0.510260, 4.777317, 1.003449, 2154.631348, 1587.835205, 0.032986, -0.017304,
7_8_2018 19:34:8,0.510260, 4.777317, 0.214814, 2154.631348, 1587.835205, 0.032986, -0.017304,
7_8_2018 19:34:8,0.510260, 4.777317, 0.214814, 2154.622803, 1587.835205, 0.032986, -0.017304,
7_8_2018 19:34:8,0.510260, 4.777317, 0.214814, 2154.622803, 1578.906616, 0.032986, -0.017304,
7_8_2018 19:34:8,0.510260, 4.777317, 0.214814, 2154.622803, 1578.906616, 0.009342, -0.017304,
7_8_2018 19:34:8,0.510260, 4.777317, 0.214814, 2154.622803, 1578.906616, 0.009342, -0.016844,
7_8_2018 19:34:9,-0.284988, 4.777317, 0.214814, 2154.622803, 1578.906616, 0.009342, -0.016844,
7_8_2018 19:34:9,-0.284988, -2.509600, 0.214814, 2154.622803, 1578.906616, 0.009342, -0.016844,
7_8_2018 19:34:3,-0.319754, -0.716176, 1.797150, 2154.670410, 1643.844116, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 1.797150, 2154.670410, 1643.844116, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1643.844116, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.660400, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:3,-0.319754, -0.716176, 1.797150, 2154.670410, 1643.844116, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 1.797150, 2154.670410, 1643.844116, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1643.844116, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.660400, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.650391, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.650391, 1616.937256, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.650391, 1616.937256, 0.083841, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.650391, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -0.006458, 3.060149, 2154.650391, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 3.060149, 2154.650391, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.650391, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.640381, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.640381, 1601.259155, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.640381, 1601.259155, 0.063882, 0.008859,
7_8_2018 19:34:3,-0.319754, -0.716176, 1.797150, 2154.670410, 1643.844116, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 1.797150, 2154.670410, 1643.844116, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1643.844116, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.022278, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.033622,
7_8_2018 19:34:3,-0.319754, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, 1.859676, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.105455, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.670410, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.660400, 1641.050049, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.031823, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.034561,
7_8_2018 19:34:4,0.257793, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.141772, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 2.658766, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.660400, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.650391, 1630.864990, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.650391, 1616.937256, 0.061285, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.650391, 1616.937256, 0.083841, 0.032441,
7_8_2018 19:34:5,0.790397, -0.006458, 3.060149, 2154.650391, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -0.006458, 3.060149, 2154.650391, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 3.060149, 2154.650391, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.650391, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.640381, 1616.937256, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.640381, 1601.259155, 0.083841, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.640381, 1601.259155, 0.063882, 0.008859,
7_8_2018 19:34:6,-0.996717, -1.089533, 2.239967, 2154.640381, 1601.259155, 0.063882, -0.019001,
7_8_2018 19:34:7,-0.455931, -1.089533, 2.239967, 2154.640381, 1601.259155, 0.063882, -0.019001,
7_8_2018 19:34:7,-0.455931, 0.553528, 2.239967, 2154.640381, 1601.259155, 0.063882, -0.019001,
7_8_2018 19:34:7,-0.455931, 0.553528, 1.003449, 2154.640381, 1601.259155, 0.063882, -0.019001,
